experiment_id,AnchorRepo,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,Top1_CandidateRepo,Top5_Candidates
penalty100_min700_cap21,JaidedAI/EasyOCR,Good,1,2,5,30,abdulfatir/twitter-sentiment-analysis,abdulfatir/twitter-sentiment-analysis | Lightning-AI/pytorch-lightning | Hironsan/BossSensor | GabrielDornelles/pytorch-ocr | frgfm/torch-cam
penalty100_min700_cap21,explosion/spaCy,OK,2,5,11,29,stanfordnlp/stanza,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
penalty100_min700_cap21,recommenders-team/recommenders,OK,2,2,10,30,Lightning-AI/pytorch-lightning,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | explosion/spaCy | google-deepmind/sonnet
penalty100_min700_cap21,gradio-app/gradio,Weak,3,5,11,30,streamlit/streamlit,streamlit/streamlit | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | NannyML/nannyml
penalty100_min700_cap21,streamlit/streamlit,Weak,3,4,11,30,gradio-app/gradio,gradio-app/gradio | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | tflearn/tflearn
penalty110_min700_cap11,JaidedAI/EasyOCR,Good,1,1,4,30,abdulfatir/twitter-sentiment-analysis,abdulfatir/twitter-sentiment-analysis | Hironsan/BossSensor | Lightning-AI/pytorch-lightning | GabrielDornelles/pytorch-ocr | frgfm/torch-cam
penalty110_min700_cap11,Lightning-AI/pytorch-lightning,Good,1,4,8,30,keras-team/keras,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | google-deepmind/sonnet
penalty110_min700_cap11,deepspeedai/DeepSpeed,Good,1,3,9,29,InterDigitalInc/CompressAI,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | hpcaitech/ColossalAI | qualcomm/aimet | Lightning-AI/pytorch-lightning
penalty110_min700_cap11,onnx/onnx,Good,1,3,9,30,google-deepmind/sonnet,google-deepmind/sonnet | Lightning-AI/pytorch-lightning | kornia/kornia | flwrlabs/flower | stanfordnlp/stanza
penalty110_min700_cap11,serengil/deepface,Good,1,3,10,29,deepinsight/insightface,deepinsight/insightface | Zeyi-Lin/HivisionIDPhotos | RangiLyu/nanodet | Lightning-AI/pytorch-lightning | Lasagne/Lasagne
penalty110_min700_cap11,OpenBB-finance/OpenBB,Good,0,0,0,13,ValueCell-ai/valuecell,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | agno-agi/agno
penalty110_min700_cap11,apache/airflow,Good,0,0,0,14,dagster-io/dagster,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | kedro-org/kedro
penalty110_min700_cap11,bbfamily/abu,Good,0,0,1,15,zvtvz/zvt,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
penalty110_min700_cap11,huggingface/datasets,Good,0,0,1,30,Lightning-AI/litgpt,Lightning-AI/litgpt | jacobgil/pytorch-grad-cam | rohitg00/ai-engineering-from-scratch | ludwig-ai/ludwig | mlfoundations/open_clip
penalty110_min700_cap11,huggingface/transformers,Good,0,0,1,30,GradientHQ/parallax,GradientHQ/parallax | jessevig/bertviz | sgl-project/sglang | hiyouga/EasyR1 | vllm-project/vllm
penalty110_min700_cap11,jina-ai/serve,Good,0,0,0,25,bentoml/BentoML,bentoml/BentoML | Netflix/metaflow | rohitg00/ai-engineering-from-scratch | PrefectHQ/fastmcp | agentscope-ai/agentscope
penalty110_min700_cap11,pytorch/pytorch,Good,0,0,7,30,chainer/chainer,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
penalty110_min700_cap11,ray-project/ray,Good,0,0,0,30,google/langextract,google/langextract | NVIDIA/TensorRT-LLM | torchpipe/torchpipe | ELS-RD/transformer-deploy | huggingface/datasets
penalty110_min700_cap11,sebastianruder/NLP-progress,Good,0,0,0,20,nltk/nltk,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
penalty110_min700_cap11,ultralytics/yolov5,Good,0,0,4,30,Megvii-BaseDetection/YOLOX,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
penalty110_min700_cap11,eriklindernoren/ML-From-Scratch,OK,2,3,8,30,tflearn/tflearn,tflearn/tflearn | mdbloice/Augmentor | unit8co/darts | Lightning-AI/pytorch-lightning | streamlit/streamlit
penalty110_min700_cap11,explosion/spaCy,OK,2,5,11,26,stanfordnlp/stanza,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
penalty110_min700_cap11,recommenders-team/recommenders,OK,2,2,9,28,Lightning-AI/pytorch-lightning,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | explosion/spaCy | google-deepmind/sonnet
penalty110_min700_cap11,gradio-app/gradio,Weak,3,5,11,28,streamlit/streamlit,streamlit/streamlit | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | NannyML/nannyml
penalty110_min700_cap11,streamlit/streamlit,Weak,3,4,11,30,gradio-app/gradio,gradio-app/gradio | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | tflearn/tflearn
penalty110_min700_cap12,JaidedAI/EasyOCR,Good,1,1,4,30,abdulfatir/twitter-sentiment-analysis,abdulfatir/twitter-sentiment-analysis | Hironsan/BossSensor | Lightning-AI/pytorch-lightning | GabrielDornelles/pytorch-ocr | frgfm/torch-cam
penalty110_min700_cap12,Lightning-AI/pytorch-lightning,Good,1,4,8,30,keras-team/keras,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | google-deepmind/sonnet
penalty110_min700_cap12,deepspeedai/DeepSpeed,Good,1,3,9,29,InterDigitalInc/CompressAI,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | hpcaitech/ColossalAI | qualcomm/aimet | Lightning-AI/pytorch-lightning
penalty110_min700_cap12,onnx/onnx,Good,1,3,9,30,google-deepmind/sonnet,google-deepmind/sonnet | Lightning-AI/pytorch-lightning | kornia/kornia | flwrlabs/flower | stanfordnlp/stanza
penalty110_min700_cap12,serengil/deepface,Good,1,3,10,29,deepinsight/insightface,deepinsight/insightface | Zeyi-Lin/HivisionIDPhotos | RangiLyu/nanodet | Lightning-AI/pytorch-lightning | Lasagne/Lasagne
penalty110_min700_cap12,OpenBB-finance/OpenBB,Good,0,0,0,13,ValueCell-ai/valuecell,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | agno-agi/agno
penalty110_min700_cap12,apache/airflow,Good,0,0,0,14,dagster-io/dagster,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | kedro-org/kedro
penalty110_min700_cap12,bbfamily/abu,Good,0,0,1,15,zvtvz/zvt,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
penalty110_min700_cap12,huggingface/datasets,Good,0,0,1,30,Lightning-AI/litgpt,Lightning-AI/litgpt | jacobgil/pytorch-grad-cam | rohitg00/ai-engineering-from-scratch | ludwig-ai/ludwig | mlfoundations/open_clip
penalty110_min700_cap12,huggingface/transformers,Good,0,0,1,30,GradientHQ/parallax,GradientHQ/parallax | jessevig/bertviz | sgl-project/sglang | hiyouga/EasyR1 | vllm-project/vllm
penalty110_min700_cap12,jina-ai/serve,Good,0,0,0,25,bentoml/BentoML,bentoml/BentoML | Netflix/metaflow | rohitg00/ai-engineering-from-scratch | PrefectHQ/fastmcp | agentscope-ai/agentscope
penalty110_min700_cap12,pytorch/pytorch,Good,0,0,7,30,chainer/chainer,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
penalty110_min700_cap12,ray-project/ray,Good,0,0,0,30,google/langextract,google/langextract | NVIDIA/TensorRT-LLM | torchpipe/torchpipe | ELS-RD/transformer-deploy | huggingface/datasets
penalty110_min700_cap12,sebastianruder/NLP-progress,Good,0,0,0,20,nltk/nltk,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
penalty110_min700_cap12,ultralytics/yolov5,Good,0,0,4,30,Megvii-BaseDetection/YOLOX,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
penalty110_min700_cap12,eriklindernoren/ML-From-Scratch,OK,2,3,8,30,tflearn/tflearn,tflearn/tflearn | mdbloice/Augmentor | unit8co/darts | Lightning-AI/pytorch-lightning | streamlit/streamlit
penalty110_min700_cap12,explosion/spaCy,OK,2,5,11,26,stanfordnlp/stanza,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
penalty110_min700_cap12,recommenders-team/recommenders,OK,2,2,9,28,Lightning-AI/pytorch-lightning,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | explosion/spaCy | google-deepmind/sonnet
penalty110_min700_cap12,gradio-app/gradio,Weak,3,5,11,28,streamlit/streamlit,streamlit/streamlit | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | NannyML/nannyml
penalty110_min700_cap12,streamlit/streamlit,Weak,3,4,11,30,gradio-app/gradio,gradio-app/gradio | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | tflearn/tflearn
penalty110_min700_cap21,JaidedAI/EasyOCR,Good,1,1,4,30,abdulfatir/twitter-sentiment-analysis,abdulfatir/twitter-sentiment-analysis | Hironsan/BossSensor | Lightning-AI/pytorch-lightning | GabrielDornelles/pytorch-ocr | frgfm/torch-cam
penalty110_min700_cap21,Lightning-AI/pytorch-lightning,Good,1,4,8,30,keras-team/keras,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | google-deepmind/sonnet
penalty110_min700_cap21,deepspeedai/DeepSpeed,Good,1,3,9,29,InterDigitalInc/CompressAI,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | hpcaitech/ColossalAI | qualcomm/aimet | Lightning-AI/pytorch-lightning
penalty110_min700_cap21,onnx/onnx,Good,1,3,9,30,google-deepmind/sonnet,google-deepmind/sonnet | Lightning-AI/pytorch-lightning | kornia/kornia | flwrlabs/flower | stanfordnlp/stanza
penalty110_min700_cap21,serengil/deepface,Good,1,3,10,29,deepinsight/insightface,deepinsight/insightface | Zeyi-Lin/HivisionIDPhotos | RangiLyu/nanodet | Lightning-AI/pytorch-lightning | Lasagne/Lasagne
penalty110_min700_cap21,OpenBB-finance/OpenBB,Good,0,0,0,13,ValueCell-ai/valuecell,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | agno-agi/agno
penalty110_min700_cap21,apache/airflow,Good,0,0,0,14,dagster-io/dagster,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | kedro-org/kedro
penalty110_min700_cap21,bbfamily/abu,Good,0,0,1,15,zvtvz/zvt,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
penalty110_min700_cap21,huggingface/datasets,Good,0,0,1,30,Lightning-AI/litgpt,Lightning-AI/litgpt | jacobgil/pytorch-grad-cam | rohitg00/ai-engineering-from-scratch | ludwig-ai/ludwig | mlfoundations/open_clip
penalty110_min700_cap21,huggingface/transformers,Good,0,0,1,30,GradientHQ/parallax,GradientHQ/parallax | jessevig/bertviz | sgl-project/sglang | hiyouga/EasyR1 | vllm-project/vllm
penalty110_min700_cap21,jina-ai/serve,Good,0,0,0,25,bentoml/BentoML,bentoml/BentoML | Netflix/metaflow | rohitg00/ai-engineering-from-scratch | PrefectHQ/fastmcp | agentscope-ai/agentscope
penalty110_min700_cap21,pytorch/pytorch,Good,0,0,7,30,chainer/chainer,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
penalty110_min700_cap21,ray-project/ray,Good,0,0,0,30,google/langextract,google/langextract | NVIDIA/TensorRT-LLM | torchpipe/torchpipe | ELS-RD/transformer-deploy | huggingface/datasets
penalty110_min700_cap21,sebastianruder/NLP-progress,Good,0,0,0,20,nltk/nltk,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
penalty110_min700_cap21,ultralytics/yolov5,Good,0,0,4,30,Megvii-BaseDetection/YOLOX,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
penalty110_min700_cap21,eriklindernoren/ML-From-Scratch,OK,2,3,8,30,tflearn/tflearn,tflearn/tflearn | mdbloice/Augmentor | unit8co/darts | Lightning-AI/pytorch-lightning | streamlit/streamlit
penalty110_min700_cap21,explosion/spaCy,OK,2,5,11,26,stanfordnlp/stanza,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
penalty110_min700_cap21,recommenders-team/recommenders,OK,2,2,9,28,Lightning-AI/pytorch-lightning,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | explosion/spaCy | google-deepmind/sonnet
penalty110_min700_cap21,gradio-app/gradio,Weak,3,5,11,28,streamlit/streamlit,streamlit/streamlit | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | NannyML/nannyml
penalty110_min700_cap21,streamlit/streamlit,Weak,3,4,11,30,gradio-app/gradio,gradio-app/gradio | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | tflearn/tflearn
penalty110_min700_cap22,JaidedAI/EasyOCR,Good,1,1,4,30,abdulfatir/twitter-sentiment-analysis,abdulfatir/twitter-sentiment-analysis | Hironsan/BossSensor | Lightning-AI/pytorch-lightning | GabrielDornelles/pytorch-ocr | frgfm/torch-cam
penalty110_min700_cap22,Lightning-AI/pytorch-lightning,Good,1,4,8,30,keras-team/keras,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | google-deepmind/sonnet
penalty110_min700_cap22,deepspeedai/DeepSpeed,Good,1,3,9,29,InterDigitalInc/CompressAI,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | hpcaitech/ColossalAI | qualcomm/aimet | Lightning-AI/pytorch-lightning
penalty110_min700_cap22,onnx/onnx,Good,1,3,8,30,google-deepmind/sonnet,google-deepmind/sonnet | Lightning-AI/pytorch-lightning | kornia/kornia | flwrlabs/flower | stanfordnlp/stanza
penalty110_min700_cap22,serengil/deepface,Good,1,3,10,29,deepinsight/insightface,deepinsight/insightface | Zeyi-Lin/HivisionIDPhotos | RangiLyu/nanodet | Lightning-AI/pytorch-lightning | Lasagne/Lasagne
penalty110_min700_cap22,OpenBB-finance/OpenBB,Good,0,0,0,13,ValueCell-ai/valuecell,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | agno-agi/agno
penalty110_min700_cap22,apache/airflow,Good,0,0,0,14,dagster-io/dagster,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | kedro-org/kedro
penalty110_min700_cap22,bbfamily/abu,Good,0,0,1,15,zvtvz/zvt,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
penalty110_min700_cap22,huggingface/datasets,Good,0,0,1,30,Lightning-AI/litgpt,Lightning-AI/litgpt | rohitg00/ai-engineering-from-scratch | jacobgil/pytorch-grad-cam | ludwig-ai/ludwig | mlfoundations/open_clip
penalty110_min700_cap22,huggingface/transformers,Good,0,0,1,30,GradientHQ/parallax,GradientHQ/parallax | jessevig/bertviz | sgl-project/sglang | hiyouga/EasyR1 | vllm-project/vllm
penalty110_min700_cap22,jina-ai/serve,Good,0,0,0,25,bentoml/BentoML,bentoml/BentoML | Netflix/metaflow | rohitg00/ai-engineering-from-scratch | PrefectHQ/fastmcp | agentscope-ai/agentscope
penalty110_min700_cap22,pytorch/pytorch,Good,0,0,7,30,chainer/chainer,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
penalty110_min700_cap22,ray-project/ray,Good,0,0,1,30,google/langextract,google/langextract | NVIDIA/TensorRT-LLM | torchpipe/torchpipe | ELS-RD/transformer-deploy | huggingface/datasets
penalty110_min700_cap22,sebastianruder/NLP-progress,Good,0,0,0,20,nltk/nltk,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
penalty110_min700_cap22,ultralytics/yolov5,Good,0,0,4,30,Megvii-BaseDetection/YOLOX,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
penalty110_min700_cap22,eriklindernoren/ML-From-Scratch,OK,2,3,8,30,tflearn/tflearn,tflearn/tflearn | mdbloice/Augmentor | unit8co/darts | Lightning-AI/pytorch-lightning | streamlit/streamlit
penalty110_min700_cap22,explosion/spaCy,OK,2,5,11,26,stanfordnlp/stanza,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
penalty110_min700_cap22,recommenders-team/recommenders,OK,2,2,9,28,Lightning-AI/pytorch-lightning,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | explosion/spaCy | google-deepmind/sonnet
penalty110_min700_cap22,gradio-app/gradio,Weak,3,5,11,28,streamlit/streamlit,streamlit/streamlit | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | NannyML/nannyml
penalty110_min700_cap22,streamlit/streamlit,Weak,3,4,11,30,gradio-app/gradio,gradio-app/gradio | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | tflearn/tflearn
penalty150_min600_cap22,Lightning-AI/pytorch-lightning,Good,1,4,7,30,keras-team/keras,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | google-deepmind/sonnet
penalty150_min600_cap22,eriklindernoren/ML-From-Scratch,Good,1,3,6,30,mdbloice/Augmentor,mdbloice/Augmentor | tflearn/tflearn | unit8co/darts | aleju/imgaug | Lightning-AI/pytorch-lightning
penalty150_min600_cap22,onnx/onnx,Good,1,2,8,30,google-deepmind/sonnet,google-deepmind/sonnet | kornia/kornia | Lightning-AI/pytorch-lightning | flwrlabs/flower | stanfordnlp/stanza
penalty150_min600_cap22,recommenders-team/recommenders,Good,1,2,8,30,Lightning-AI/pytorch-lightning,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | google-deepmind/sonnet | stanfordnlp/stanza
penalty150_min600_cap22,JaidedAI/EasyOCR,Good,0,0,2,30,abdulfatir/twitter-sentiment-analysis,abdulfatir/twitter-sentiment-analysis | Hironsan/BossSensor | GabrielDornelles/pytorch-ocr | frgfm/torch-cam | open-mmlab/mmocr
penalty150_min600_cap22,OpenBB-finance/OpenBB,Good,0,0,0,26,ValueCell-ai/valuecell,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | agno-agi/agno
penalty150_min600_cap22,apache/airflow,Good,0,0,0,24,dagster-io/dagster,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | san089/goodreads_etl_pipeline
penalty150_min600_cap22,bbfamily/abu,Good,0,0,1,25,zvtvz/zvt,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
penalty150_min600_cap22,deepspeedai/DeepSpeed,Good,0,1,8,30,InterDigitalInc/CompressAI,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | hpcaitech/ColossalAI | qualcomm/aimet | tensorflow/compression
penalty150_min600_cap22,huggingface/datasets,Good,0,0,1,30,Lightning-AI/litgpt,Lightning-AI/litgpt | jacobgil/pytorch-grad-cam | rohitg00/ai-engineering-from-scratch | mlfoundations/open_clip | ludwig-ai/ludwig
penalty150_min600_cap22,huggingface/transformers,Good,0,0,0,30,GradientHQ/parallax,GradientHQ/parallax | hiyouga/EasyR1 | jessevig/bertviz | sgl-project/sglang | speechbrain/speechbrain
penalty150_min600_cap22,jina-ai/serve,Good,0,0,0,30,bentoml/BentoML,bentoml/BentoML | Netflix/metaflow | PrefectHQ/fastmcp | agentscope-ai/agentscope | emcie-co/parlant
penalty150_min600_cap22,pytorch/pytorch,Good,0,0,4,30,chainer/chainer,chainer/chainer | norse/norse | pranftw/neograd | leptonai/leptonai | oreilly-japan/deep-learning-from-scratch-3
penalty150_min600_cap22,ray-project/ray,Good,0,0,0,30,torchpipe/torchpipe,torchpipe/torchpipe | ELS-RD/transformer-deploy | NVIDIA/TensorRT-LLM | google/langextract | microsoft/LoRA
penalty150_min600_cap22,sebastianruder/NLP-progress,Good,0,0,0,30,nltk/nltk,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
penalty150_min600_cap22,serengil/deepface,Good,0,0,5,30,deepinsight/insightface,deepinsight/insightface | RangiLyu/nanodet | Lasagne/Lasagne | Zeyi-Lin/HivisionIDPhotos | wujiyang/Face_Pytorch
penalty150_min600_cap22,ultralytics/yolov5,Good,0,0,3,30,Megvii-BaseDetection/YOLOX,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
penalty150_min600_cap22,explosion/spaCy,OK,2,4,11,30,stanfordnlp/stanza,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
penalty150_min600_cap22,gradio-app/gradio,Weak,3,4,11,30,streamlit/streamlit,streamlit/streamlit | unit8co/darts | NannyML/nannyml | Lightning-AI/pytorch-lightning | keras-team/keras
penalty150_min600_cap22,streamlit/streamlit,Weak,3,4,10,30,gradio-app/gradio,gradio-app/gradio | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | NannyML/nannyml
penalty150_min700_cap22,Lightning-AI/pytorch-lightning,Good,1,4,7,30,keras-team/keras,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | google-deepmind/sonnet
penalty150_min700_cap22,eriklindernoren/ML-From-Scratch,Good,1,3,6,29,mdbloice/Augmentor,mdbloice/Augmentor | tflearn/tflearn | unit8co/darts | aleju/imgaug | Lightning-AI/pytorch-lightning
penalty150_min700_cap22,onnx/onnx,Good,1,2,8,20,google-deepmind/sonnet,google-deepmind/sonnet | kornia/kornia | Lightning-AI/pytorch-lightning | flwrlabs/flower | stanfordnlp/stanza
penalty150_min700_cap22,recommenders-team/recommenders,Good,1,2,7,23,Lightning-AI/pytorch-lightning,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | google-deepmind/sonnet | stanfordnlp/stanza
penalty150_min700_cap22,JaidedAI/EasyOCR,Good,0,0,2,30,abdulfatir/twitter-sentiment-analysis,abdulfatir/twitter-sentiment-analysis | Hironsan/BossSensor | GabrielDornelles/pytorch-ocr | frgfm/torch-cam | open-mmlab/mmocr
penalty150_min700_cap22,OpenBB-finance/OpenBB,Good,0,0,0,13,ValueCell-ai/valuecell,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | agno-agi/agno
penalty150_min700_cap22,apache/airflow,Good,0,0,0,14,dagster-io/dagster,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | san089/goodreads_etl_pipeline
