AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
ultralytics/yolov5,ultralytics-yolov5,Good,0,1,5,30,10,206,0.0,Megvii-BaseDetection/YOLOX,WangQvQ/YOLOMagic,tinyvision/DAMO-YOLO,ayooshkathuria/pytorch-yolo-v3,open-mmlab/mmyolo,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,OK,2,4,10,30,10,210,51.88,keras-team/keras,stanfordnlp/stanza,unit8co/darts,kornia/kornia,streamlit/streamlit,keras-team/keras | stanfordnlp/stanza | unit8co/darts | kornia/kornia | streamlit/streamlit
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,OK,2,3,10,30,10,157,40.88,hpcaitech/ColossalAI,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,Lightning-AI/pytorch-lightning,keras-team/keras,hpcaitech/ColossalAI | InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | Lightning-AI/pytorch-lightning | keras-team/keras
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,OK,2,4,9,30,10,185,44.46,tflearn/tflearn,Lightning-AI/pytorch-lightning,unit8co/darts,streamlit/streamlit,mdbloice/Augmentor,tflearn/tflearn | Lightning-AI/pytorch-lightning | unit8co/darts | streamlit/streamlit | mdbloice/Augmentor
explosion/spaCy,explosion-spacy,OK,2,6,11,30,10,193,51.28,Lightning-AI/pytorch-lightning,stanfordnlp/stanza,keras-team/keras,kornia/kornia,google-deepmind/sonnet,Lightning-AI/pytorch-lightning | stanfordnlp/stanza | keras-team/keras | kornia/kornia | google-deepmind/sonnet
gradio-app/gradio,gradio-app-gradio,Weak,4,6,11,30,10,222,62.68,streamlit/streamlit,Lightning-AI/pytorch-lightning,keras-team/keras,unit8co/darts,eriklindernoren/ML-From-Scratch,streamlit/streamlit | Lightning-AI/pytorch-lightning | keras-team/keras | unit8co/darts | eriklindernoren/ML-From-Scratch
streamlit/streamlit,streamlit-streamlit,Weak,4,7,12,30,10,212,62.39,gradio-app/gradio,Lightning-AI/pytorch-lightning,unit8co/darts,keras-team/keras,eriklindernoren/ML-From-Scratch,gradio-app/gradio | Lightning-AI/pytorch-lightning | unit8co/darts | keras-team/keras | eriklindernoren/ML-From-Scratch
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Weak,3,5,10,30,10,220,44.46,Lightning-AI/pytorch-lightning,keras-team/keras,Hironsan/BossSensor,abdulfatir/twitter-sentiment-analysis,roboflow/supervision,Lightning-AI/pytorch-lightning | keras-team/keras | Hironsan/BossSensor | abdulfatir/twitter-sentiment-analysis | roboflow/supervision
recommenders-team/recommenders,recommenders-team-recommenders,Weak,3,3,10,30,10,215,57.4,Lightning-AI/pytorch-lightning,explosion/spaCy,unit8co/darts,kornia/kornia,streamlit/streamlit,Lightning-AI/pytorch-lightning | explosion/spaCy | unit8co/darts | kornia/kornia | streamlit/streamlit
serengil/deepface,serengil-deepface,Weak,3,5,12,30,10,161,50.21,Lightning-AI/pytorch-lightning,deepinsight/insightface,Zeyi-Lin/HivisionIDPhotos,streamlit/streamlit,recommenders-team/recommenders,Lightning-AI/pytorch-lightning | deepinsight/insightface | Zeyi-Lin/HivisionIDPhotos | streamlit/streamlit | recommenders-team/recommenders
