AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
huggingface/transformers,huggingface-transformers,Good,0,0,0,30,10,226,30.0,GradientHQ/parallax,hiyouga/EasyR1,jessevig/bertviz,sgl-project/sglang,speechbrain/speechbrain,GradientHQ/parallax | hiyouga/EasyR1 | jessevig/bertviz | sgl-project/sglang | speechbrain/speechbrain
jina-ai/serve,jina-ai-serve,Good,0,0,0,30,10,192,55.72,bentoml/BentoML,Netflix/metaflow,PrefectHQ/fastmcp,agentscope-ai/agentscope,emcie-co/parlant,bentoml/BentoML | Netflix/metaflow | PrefectHQ/fastmcp | agentscope-ai/agentscope | emcie-co/parlant
pytorch/pytorch,pytorch-pytorch,Good,0,0,4,30,10,193,0.0,chainer/chainer,norse/norse,pranftw/neograd,leptonai/leptonai,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | pranftw/neograd | leptonai/leptonai | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,30,10,233,39.03,torchpipe/torchpipe,ELS-RD/transformer-deploy,NVIDIA/TensorRT-LLM,google/langextract,microsoft/LoRA,torchpipe/torchpipe | ELS-RD/transformer-deploy | NVIDIA/TensorRT-LLM | google/langextract | microsoft/LoRA
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,30,10,226,0.0,nltk/nltk,jasonwu0731/trade-dst,hankcs/HanLP,budzianowski/multiwoz,Maluuba/nlg-eval,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
serengil/deepface,serengil-deepface,Good,0,0,5,30,10,161,27.09,deepinsight/insightface,RangiLyu/nanodet,Lasagne/Lasagne,Zeyi-Lin/HivisionIDPhotos,wujiyang/Face_Pytorch,deepinsight/insightface | RangiLyu/nanodet | Lasagne/Lasagne | Zeyi-Lin/HivisionIDPhotos | wujiyang/Face_Pytorch
ultralytics/yolov5,ultralytics-yolov5,Good,0,0,3,30,10,206,0.0,Megvii-BaseDetection/YOLOX,WangQvQ/YOLOMagic,tinyvision/DAMO-YOLO,ayooshkathuria/pytorch-yolo-v3,open-mmlab/mmyolo,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
explosion/spaCy,explosion-spacy,OK,2,4,11,30,10,193,139.86,stanfordnlp/stanza,Lightning-AI/pytorch-lightning,kornia/kornia,google-deepmind/sonnet,keras-team/keras,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
gradio-app/gradio,gradio-app-gradio,Weak,3,4,11,30,10,222,143.86,streamlit/streamlit,unit8co/darts,NannyML/nannyml,Lightning-AI/pytorch-lightning,keras-team/keras,streamlit/streamlit | unit8co/darts | NannyML/nannyml | Lightning-AI/pytorch-lightning | keras-team/keras
streamlit/streamlit,streamlit-streamlit,Weak,3,4,10,30,10,212,143.07,gradio-app/gradio,unit8co/darts,Lightning-AI/pytorch-lightning,keras-team/keras,NannyML/nannyml,gradio-app/gradio | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | NannyML/nannyml
