AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,OK,2,4,10,30,10,209,28.29,keras-team/keras,stanfordnlp/stanza,unit8co/darts,kornia/kornia,streamlit/streamlit,keras-team/keras | stanfordnlp/stanza | unit8co/darts | kornia/kornia | streamlit/streamlit
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,OK,2,3,10,30,10,156,22.3,hpcaitech/ColossalAI,Lightning-AI/pytorch-lightning,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,keras-team/keras,hpcaitech/ColossalAI | Lightning-AI/pytorch-lightning | InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | keras-team/keras
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Weak,4,6,11,30,10,218,31.48,Lightning-AI/pytorch-lightning,keras-team/keras,roboflow/supervision,eriklindernoren/ML-From-Scratch,Hironsan/BossSensor,Lightning-AI/pytorch-lightning | keras-team/keras | roboflow/supervision | eriklindernoren/ML-From-Scratch | Hironsan/BossSensor
gradio-app/gradio,gradio-app-gradio,Weak,4,7,11,30,10,221,34.19,streamlit/streamlit,Lightning-AI/pytorch-lightning,keras-team/keras,unit8co/darts,eriklindernoren/ML-From-Scratch,streamlit/streamlit | Lightning-AI/pytorch-lightning | keras-team/keras | unit8co/darts | eriklindernoren/ML-From-Scratch
serengil/deepface,serengil-deepface,Weak,4,7,12,30,10,160,31.16,Lightning-AI/pytorch-lightning,streamlit/streamlit,deepinsight/insightface,recommenders-team/recommenders,keras-team/keras,Lightning-AI/pytorch-lightning | streamlit/streamlit | deepinsight/insightface | recommenders-team/recommenders | keras-team/keras
streamlit/streamlit,streamlit-streamlit,Weak,4,7,12,30,10,211,34.03,gradio-app/gradio,Lightning-AI/pytorch-lightning,keras-team/keras,unit8co/darts,eriklindernoren/ML-From-Scratch,gradio-app/gradio | Lightning-AI/pytorch-lightning | keras-team/keras | unit8co/darts | eriklindernoren/ML-From-Scratch
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,Weak,3,4,9,30,10,184,31.63,Lightning-AI/pytorch-lightning,tflearn/tflearn,unit8co/darts,streamlit/streamlit,keras-team/keras,Lightning-AI/pytorch-lightning | tflearn/tflearn | unit8co/darts | streamlit/streamlit | keras-team/keras
explosion/spaCy,explosion-spacy,Weak,3,6,11,30,10,192,30.83,Lightning-AI/pytorch-lightning,stanfordnlp/stanza,keras-team/keras,recommenders-team/recommenders,kornia/kornia,Lightning-AI/pytorch-lightning | stanfordnlp/stanza | keras-team/keras | recommenders-team/recommenders | kornia/kornia
recommenders-team/recommenders,recommenders-team-recommenders,Weak,3,4,10,30,10,214,31.31,Lightning-AI/pytorch-lightning,explosion/spaCy,unit8co/darts,streamlit/streamlit,kornia/kornia,Lightning-AI/pytorch-lightning | explosion/spaCy | unit8co/darts | streamlit/streamlit | kornia/kornia
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Weak,0,0,1,2,10,231,0.0,ValueCell-ai/valuecell,agno-agi/agno,quantsbin/Quantsbin,langchain-ai/deepagents,Michalos88/Quant-Projects,ValueCell-ai/valuecell | agno-agi/agno | quantsbin/Quantsbin | langchain-ai/deepagents | Michalos88/Quant-Projects
