AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
streamlit/streamlit,streamlit-streamlit,Good,0,1,1,3,10,212,76.68,NannyML/nannyml,CorentinJ/Real-Time-Voice-Cloning,babysor/MockingBird,huggingface/diffusers,ultralytics/yolov5,NannyML/nannyml | CorentinJ/Real-Time-Voice-Cloning | babysor/MockingBird | huggingface/diffusers | ultralytics/yolov5
ultralytics/yolov5,ultralytics-yolov5,Good,0,0,5,30,10,206,0.0,Megvii-BaseDetection/YOLOX,WangQvQ/YOLOMagic,tinyvision/DAMO-YOLO,ayooshkathuria/pytorch-yolo-v3,open-mmlab/mmyolo,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,OK,2,4,9,30,10,210,70.74,keras-team/keras,stanfordnlp/stanza,unit8co/darts,kornia/kornia,streamlit/streamlit,keras-team/keras | stanfordnlp/stanza | unit8co/darts | kornia/kornia | streamlit/streamlit
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,OK,2,3,10,30,10,157,55.74,hpcaitech/ColossalAI,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,Lightning-AI/pytorch-lightning,keras-team/keras,hpcaitech/ColossalAI | InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | Lightning-AI/pytorch-lightning | keras-team/keras
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,OK,2,3,7,23,10,185,71.93,unit8co/darts,streamlit/streamlit,keras-team/keras,WenjieDu/PyPOTS,piskvorky/gensim,unit8co/darts | streamlit/streamlit | keras-team/keras | WenjieDu/PyPOTS | piskvorky/gensim
explosion/spaCy,explosion-spacy,OK,2,5,11,30,10,193,69.93,Lightning-AI/pytorch-lightning,stanfordnlp/stanza,keras-team/keras,kornia/kornia,google-deepmind/sonnet,Lightning-AI/pytorch-lightning | stanfordnlp/stanza | keras-team/keras | kornia/kornia | google-deepmind/sonnet
recommenders-team/recommenders,recommenders-team-recommenders,OK,2,3,10,30,10,215,70.3,Lightning-AI/pytorch-lightning,unit8co/darts,explosion/spaCy,kornia/kornia,google-deepmind/sonnet,Lightning-AI/pytorch-lightning | unit8co/darts | explosion/spaCy | kornia/kornia | google-deepmind/sonnet
serengil/deepface,serengil-deepface,OK,2,2,3,11,10,161,65.52,Lightning-AI/pytorch-lightning,wkentaro/labelme,explosion/spaCy,Lasagne/Lasagne,google/magika,Lightning-AI/pytorch-lightning | wkentaro/labelme | explosion/spaCy | Lasagne/Lasagne | google/magika
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Weak,3,4,8,30,10,220,60.63,Lightning-AI/pytorch-lightning,abdulfatir/twitter-sentiment-analysis,Hironsan/BossSensor,keras-team/keras,roboflow/supervision,Lightning-AI/pytorch-lightning | abdulfatir/twitter-sentiment-analysis | Hironsan/BossSensor | keras-team/keras | roboflow/supervision
gradio-app/gradio,gradio-app-gradio,Weak,3,6,11,30,10,222,80.09,streamlit/streamlit,Lightning-AI/pytorch-lightning,unit8co/darts,keras-team/keras,Data-Centric-AI-Community/fg-data-profiling,streamlit/streamlit | Lightning-AI/pytorch-lightning | unit8co/darts | keras-team/keras | Data-Centric-AI-Community/fg-data-profiling
