CandidateRepo,Frequency,PctOfAnchors,Source
Cadene/pretrained-models.pytorch,1,5.0,30_Matches_final
Chainlit/chainlit,1,5.0,30_Matches_final
ChinaIceF/PyQt-SiliconUI,1,5.0,30_Matches_final
Coder-Yu/QRec,1,5.0,30_Matches_final
Coframe/coffee,1,5.0,30_Matches_final
Comfy-Org/ComfyUI,1,5.0,30_Matches_final
CryptoSignal/Crypto-Signal,1,5.0,30_Matches_final
DA-southampton/NLP_ability,1,5.0,30_Matches_final
DLTK/DLTK,1,5.0,30_Matches_final
Daniil-Osokin/lightweight-human-pose-estimation.pytorch,1,5.0,30_Matches_final
DanilBaibak/ml-in-production,1,5.0,30_Matches_final
DaoCloud/DaoCloud-docs,1,5.0,30_Matches_final
DeepVAC/deepvac,1,5.0,30_Matches_final
DerwenAI/pytextrank,1,5.0,30_Matches_final
Djdefrag/QualityScaler,1,5.0,30_Matches_final
DuaneNielsen/DeepInfomaxPytorch,1,5.0,30_Matches_final
DuyNguDao/Identity-Action,1,5.0,30_Matches_final
ELS-RD/transformer-deploy,1,5.0,30_Matches_final
ENOT-AutoDL/onnx2torch,1,5.0,30_Matches_final
EdoardoBotta/RQ-VAE-Recommender,1,5.0,30_Matches_final
EverMind-AI/EverOS,1,5.0,30_Matches_final
FLming/CRNN.tf2,1,5.0,30_Matches_final
Farama-Foundation/Gymnasium,1,5.0,30_Matches_final
Flame-Code-VLM/Flame-Code-VLM,1,5.0,30_Matches_final
FreedomIntelligence/TextClassificationBenchmark,1,5.0,30_Matches_final
GabrielDornelles/pytorch-ocr,1,5.0,30_Matches_final
GradientHQ/parallax,1,5.0,30_Matches_final
HIT-SCIR/ltp,1,5.0,30_Matches_final
HKUDS/OpenHarness,1,5.0,30_Matches_final
HKUDS/RAG-Anything,1,5.0,30_Matches_final
HKUDS/Vibe-Trading,1,5.0,30_Matches_final
Heerozh/spectre,1,5.0,30_Matches_final
Helsinki-NLP/Opus-MT,1,5.0,30_Matches_final
Hironsan/BossSensor,1,5.0,30_Matches_final
HomebrewML/revlib,1,5.0,30_Matches_final
IBM/unitxt,1,5.0,30_Matches_final
IBM/zshot,1,5.0,30_Matches_final
Imbad0202/academic-research-skills,1,5.0,30_Matches_final
InterDigitalInc/CompressAI,1,5.0,30_Matches_final
JingyibySUTsoftware/Yolov5-deepsort-driverDistracted-driving-behavior-detection,1,5.0,30_Matches_final
Jittor/jittor,1,5.0,30_Matches_final
JoshuaC215/agent-service-toolkit,1,5.0,30_Matches_final
Kanaries/pygwalker,1,5.0,30_Matches_final
KevinMusgrave/pytorch-metric-learning,1,5.0,30_Matches_final
LambdaLabsML/distributed-training-guide,1,5.0,30_Matches_final
Lasagne/Lasagne,1,5.0,30_Matches_final
Lightning-AI/litgpt,1,5.0,30_Matches_final
Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,1,5.0,30_Matches_final
LongmaoTeamTf/deep_recommenders,1,5.0,30_Matches_final
MTSWebServices/RecTools,1,5.0,30_Matches_final
Maluuba/nlg-eval,1,5.0,30_Matches_final
MaurizioFD/RecSys2019_DeepLearning_Evaluation,1,5.0,30_Matches_final
MemeMeow-Studio/MemeMeow,1,5.0,30_Matches_final
Michalos88/Quant-Projects,1,5.0,30_Matches_final
MigoXLab/dingo,1,5.0,30_Matches_final
Minqi824/ADBench,1,5.0,30_Matches_final
ModelTC/LightCompress,1,5.0,30_Matches_final
NTMC-Community/MatchZoo,1,5.0,30_Matches_final
NVIDIA-Merlin/Merlin,1,5.0,30_Matches_final
NVIDIA-Merlin/NVTabular,1,5.0,30_Matches_final
NVIDIA-Merlin/models,1,5.0,30_Matches_final
NVIDIA/Megatron-LM,1,5.0,30_Matches_final
NVIDIA/MinkowskiEngine,1,5.0,30_Matches_final
NVIDIA/TensorRT-LLM,1,5.0,30_Matches_final
NVIDIA/TransformerEngine,1,5.0,30_Matches_final
NVlabs/Sana,1,5.0,30_Matches_final
Netflix/metaflow,1,5.0,30_Matches_final
Nota-NetsPresso/BK-SDM,1,5.0,30_Matches_final
Novaquant-labs/hyperliquid-trading-bot,1,5.0,30_Matches_final
OpenBMB/UltraRAG,1,5.0,30_Matches_final
OpenBMB/VoxCPM,1,5.0,30_Matches_final
OpenMOSS/CoLLiE,1,5.0,30_Matches_final
OpenMOSS/MOSS-TTS,1,5.0,30_Matches_final
OpenPPL/ppq,1,5.0,30_Matches_final
OpenRLHF/OpenRLHF,1,5.0,30_Matches_final
OpenSPG/KAG,1,5.0,30_Matches_final
PINTO0309/HeadPoseEstimation-WHENet-yolov4-onnx-openvino,1,5.0,30_Matches_final
PaddlePaddle/PaddleDetection,1,5.0,30_Matches_final
PaddlePaddle/Research,1,5.0,30_Matches_final
PaddlePaddle/X2Paddle,1,5.0,30_Matches_final
PaddlePaddle/models,1,5.0,30_Matches_final
Panniantong/Agent-Reach,1,5.0,30_Matches_final
PennyLaneAI/pennylane,1,5.0,30_Matches_final
PeterH0323/Smart_Construction,1,5.0,30_Matches_final
PrefectHQ/fastmcp,1,5.0,30_Matches_final
RICHQAQ/PasteMD,1,5.0,30_Matches_final
ROCm/Tensile,1,5.0,30_Matches_final
RQLuo/MixTeX-Latex-OCR,1,5.0,30_Matches_final
RUCAIBox/CRSLab,1,5.0,30_Matches_final
RUCAIBox/RecBole,1,5.0,30_Matches_final
RangiLyu/nanodet,1,5.0,30_Matches_final
RayVentura/ShortGPT,1,5.0,30_Matches_final
Renovamen/Speech-Emotion-Recognition,1,5.0,30_Matches_final
Res2Net/Res2Net-PretrainedModels,1,5.0,30_Matches_final
RomelTorres/alpha_vantage,1,5.0,30_Matches_final
SamYuen101234/Masked_Face_Recognition,1,5.0,30_Matches_final
Sanster/text_renderer,1,5.0,30_Matches_final
Seeed-Studio/ModelAssistant,1,5.0,30_Matches_final
Sharpiless/Yolov5-Deepsort,1,5.0,30_Matches_final
THUwangcy/ReChorus,1,5.0,30_Matches_final
TachibanaYoshino/AnimeGAN,1,5.0,30_Matches_final
TachibanaYoshino/AnimeGANv3,1,5.0,30_Matches_final
Tencent/AngelSlim,1,5.0,30_Matches_final
Tianxiaomo/pytorch-YOLOv4,1,5.0,30_Matches_final
TingFree/NLPer-Arsenal,1,5.0,30_Matches_final
Tomiinek/MultiWOZ_Evaluation,1,5.0,30_Matches_final
TransformerOptimus/SuperAGI,1,5.0,30_Matches_final
UFAL-DSG/tgen,1,5.0,30_Matches_final
UlionTse/mlgb,1,5.0,30_Matches_final
Unbabel/COMET,1,5.0,30_Matches_final
Upsonic/Upsonic,1,5.0,30_Matches_final
ValueCell-ai/valuecell,1,5.0,30_Matches_final
WangQvQ/YOLOMagic,1,5.0,30_Matches_final
XiaoLongtaoo/TIGER,1,5.0,30_Matches_final
Xiaoccer/MobileFaceNet_Pytorch,1,5.0,30_Matches_final
YaoFANGUK/video-subtitle-extractor,1,5.0,30_Matches_final
YihangChen-ee/FCGS,1,5.0,30_Matches_final
YihangChen-ee/HAC,1,5.0,30_Matches_final
YihangChen-ee/HAC-plus,1,5.0,30_Matches_final
YunYang1994/tensorflow-yolov3,1,5.0,30_Matches_final
ZainZhao/Personalized-recommend,1,5.0,30_Matches_final
ZhengyaoJiang/PGPortfolio,1,5.0,30_Matches_final
abdulfatir/twitter-sentiment-analysis,1,5.0,30_Matches_final
abhishek-ch/around-dataengineering,1,5.0,30_Matches_final
adobe-research/convmelspec,1,5.0,30_Matches_final
aeon-toolkit/aeon,1,5.0,30_Matches_final
agentscope-ai/agentscope,1,5.0,30_Matches_final
agno-agi/agno,1,5.0,30_Matches_final
ahmetgunduz/Real-time-GesRec,1,5.0,30_Matches_final
aiming-lab/AutoResearchClaw,1,5.0,30_Matches_final
akirasosa/mobile-semantic-segmentation,1,5.0,30_Matches_final
akurgat/automating-technical-analysis,1,5.0,30_Matches_final
aladdinpersson/Machine-Learning-Collection,1,5.0,30_Matches_final
alanchn31/Movalytics-Data-Warehouse,1,5.0,30_Matches_final
aleju/imgaug,1,5.0,30_Matches_final
aliasrobotics/cai,1,5.0,30_Matches_final
alibaba/EasyParallelLibrary,1,5.0,30_Matches_final
amdegroot/ssd.pytorch,1,5.0,30_Matches_final
amirgholami/ZeroQ,1,5.0,30_Matches_final
amor71/LiuAlgoTrader,1,5.0,30_Matches_final
ankonzoid/artificio,1,5.0,30_Matches_final
annoviko/pyclustering,1,5.0,30_Matches_final
ansible/ansible,1,5.0,30_Matches_final
antonior92/ecg-age-prediction,1,5.0,30_Matches_final
apachecn/ailearning,1,5.0,30_Matches_final
apachecn/python_data_analysis_and_mining_action,1,5.0,30_Matches_final
apify/crawlee-python,1,5.0,30_Matches_final
argoproj/argo-workflows,1,5.0,30_Matches_final
arnaudmiribel/streamlit-extras,1,5.0,30_Matches_final
arogozhnikov/einops,1,5.0,30_Matches_final
artefactory/streamlit_prophet,1,5.0,30_Matches_final
asavinov/intelligent-trading-bot,1,5.0,30_Matches_final
asyml/texar,1,5.0,30_Matches_final
augmentedstartups/AS-One,1,5.0,30_Matches_final
autodistill/autodistill,1,5.0,30_Matches_final
ayooshkathuria/pytorch-yolo-v3,1,5.0,30_Matches_final
babysor/MockingBird,1,5.0,30_Matches_final
bentoml/BentoML,1,5.0,30_Matches_final
binance/binance-skills-hub,1,5.0,30_Matches_final
boyac/pyOptionPricing,1,5.0,30_Matches_final
breizhn/DTLN,1,5.0,30_Matches_final
brightmart/text_classification,1,5.0,30_Matches_final
brokermr810/QuantDinger,1,5.0,30_Matches_final
budzianowski/multiwoz,1,5.0,30_Matches_final
caoscott/SReC,1,5.0,30_Matches_final
capitalone/DataProfiler,1,5.0,30_Matches_final
cavalleria/cavaface,1,5.0,30_Matches_final
cfzd/Ultra-Fast-Lane-Detection,1,5.0,30_Matches_final
chainer/chainer,1,5.0,30_Matches_final
changyeyu/LLM-RL-Visualized,1,5.0,30_Matches_final
chartbeat-labs/textacy,1,5.0,30_Matches_final
cheahjs/free-llm-api-resources,1,5.0,30_Matches_final
cheungdaven/DeepRec,1,5.0,30_Matches_final
chunyuanY/Dialogue,1,5.0,30_Matches_final
cleardusk/3DDFA_V2,1,5.0,30_Matches_final
code-kern-ai/refinery,1,5.0,30_Matches_final
coding-kitties/investing-algorithm-framework,1,5.0,30_Matches_final
constverum/Quantdom,1,5.0,30_Matches_final
couler-proj/couler,1,5.0,30_Matches_final
cuemacro/finmarketpy,1,5.0,30_Matches_final
curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,1,5.0,30_Matches_final
cvat-ai/cvat,1,5.0,30_Matches_final
cvqluu/Angular-Penalty-Softmax-Losses-Pytorch,1,5.0,30_Matches_final
cylnlp/dialogsum,1,5.0,30_Matches_final
dagster-io/dagster,1,5.0,30_Matches_final
damklis/DataEngineeringProject,1,5.0,30_Matches_final
databricks/spark-deep-learning,1,5.0,30_Matches_final
datacamp/viewflow,1,5.0,30_Matches_final
dataprofessor/llama2,1,5.0,30_Matches_final
datawhalechina/all-in-rag,1,5.0,30_Matches_final
datawhalechina/fun-rec,1,5.0,30_Matches_final
davidsandberg/facenet,1,5.0,30_Matches_final
dbolya/yolact,1,5.0,30_Matches_final
dbrojas/optlib,1,5.0,30_Matches_final
ddbourgin/numpy-ml,1,5.0,30_Matches_final
deepcam-cn/yolov5-face,1,5.0,30_Matches_final
deeppavlov/DeepPavlov,1,5.0,30_Matches_final
dkeras-project/dkeras,1,5.0,30_Matches_final
eduardoleao052/Autograd-from-scratch,1,5.0,30_Matches_final
elyra-ai/elyra,1,5.0,30_Matches_final
emcie-co/parlant,1,5.0,30_Matches_final
emedvedev/attention-ocr,1,5.0,30_Matches_final
emilianavt/OpenSeeFace,1,5.0,30_Matches_final
eriklindernoren/PyTorch-YOLOv3,1,5.0,30_Matches_final
explosion/spaCy,1,5.0,30_Matches_final
fastmachinelearning/hls4ml,1,5.0,30_Matches_final
feast-dev/feast,1,5.0,30_Matches_final
federicomariamassari/financial-engineering,1,5.0,30_Matches_final
filipradenovic/cnnimageretrieval-pytorch,1,5.0,30_Matches_final
freqtrade/freqtrade,1,5.0,30_Matches_final
freqtrade/freqtrade-strategies,1,5.0,30_Matches_final
frgfm/torch-cam,1,5.0,30_Matches_final
frotms/PaddleOCR2Pytorch,1,5.0,30_Matches_final
gandersen101/spaczz,1,5.0,30_Matches_final
gasparian/PicsArtHack-binary-segmentation,1,5.0,30_Matches_final
gaussic/text-classification-cnn-rnn,1,5.0,30_Matches_final
gee-community/geemap,1,5.0,30_Matches_final
getzep/graphiti,1,5.0,30_Matches_final
gmalivenko/pytorch2keras,1,5.0,30_Matches_final
google-deepmind/acme,1,5.0,30_Matches_final
google/gin-config,1,5.0,30_Matches_final
google/tf-quant-finance,1,5.0,30_Matches_final
gpustack/gpustack,1,5.0,30_Matches_final
gradio-app/gradio,1,5.0,30_Matches_final
hankcs/HanLP,1,5.0,30_Matches_final
he-yufeng/CoreCoder,1,5.0,30_Matches_final
helmholtz-analytics/heat,1,5.0,30_Matches_final
hexiangnan/neural_collaborative_filtering,1,5.0,30_Matches_final
hiyouga/EasyR1,1,5.0,30_Matches_final
hkproj/pytorch-transformer-distributed,1,5.0,30_Matches_final
hongbo-miao/hongbomiao.com,1,5.0,30_Matches_final
hpcaitech/ColossalAI,1,5.0,30_Matches_final
hplt-project/sacremoses,1,5.0,30_Matches_final
hsliuping/TradingAgents-CN,1,5.0,30_Matches_final
hudson-and-thames/mlfinlab,1,5.0,30_Matches_final
huggingface/accelerate,1,5.0,30_Matches_final
huggingface/autotrain-advanced,1,5.0,30_Matches_final
huggingface/huggingface_hub,1,5.0,30_Matches_final
huggingface/pytorch-pretrained-BigGAN,1,5.0,30_Matches_final
i-Jayus/RecSystem-Pytorch,1,5.0,30_Matches_final
ictnlp/StreamSpeech,1,5.0,30_Matches_final
idanya/algo-trader,1,5.0,30_Matches_final
jacobgil/pytorch-grad-cam,1,5.0,30_Matches_final
jasonwu0731/ToD-BERT,1,5.0,30_Matches_final
jasonwu0731/trade-dst,1,5.0,30_Matches_final
jessevig/bertviz,1,5.0,30_Matches_final
jfainberg/self_dialogue_corpus,1,5.0,30_Matches_final
jfkirk/tensorrec,1,5.0,30_Matches_final
jhj0517/Whisper-WebUI,1,5.0,30_Matches_final
jiesutd/NCRFpp,1,5.0,30_Matches_final
jina-ai/annlite,1,5.0,30_Matches_final
jina-ai/clip-as-service,1,5.0,30_Matches_final
jkbrzt/cointrol,1,5.0,30_Matches_final
kakaobrain/fast-autoaugment,1,5.0,30_Matches_final
kamo-naoyuki/pytorch_convolutional_rnn,1,5.0,30_Matches_final
kang205/SASRec,1,5.0,30_Matches_final
katanaml/sparrow,1,5.0,30_Matches_final
kedro-org/kedro,1,5.0,30_Matches_final
kernc/backtesting.py,1,5.0,30_Matches_final
kk7nc/RMDL,1,5.0,30_Matches_final
ksanjeevan/crnn-audio-classification,1,5.0,30_Matches_final
kwai/DouZero,1,5.0,30_Matches_final
kyegomez/swarms,1,5.0,30_Matches_final
lastmile-ai/mcp-agent,1,5.0,30_Matches_final
leptonai/leptonai,1,5.0,30_Matches_final
letta-ai/letta,1,5.0,30_Matches_final
lightaime/deep_gcns_torch,1,5.0,30_Matches_final
lightseekorg/tokenspeed,1,5.0,30_Matches_final
lmbxmu/HRank,1,5.0,30_Matches_final
lss233/kirara-ai,1,5.0,30_Matches_final
lucidrains/DALLE-pytorch,1,5.0,30_Matches_final
lucidrains/DALLE2-pytorch,1,5.0,30_Matches_final
lucidrains/imagen-pytorch,1,5.0,30_Matches_final
lucidrains/vit-pytorch,1,5.0,30_Matches_final
lucidrains/x-transformers,1,5.0,30_Matches_final
ludwig-ai/ludwig,1,5.0,30_Matches_final
lukaszbinden/pediatric-bone-age-prediction,1,5.0,30_Matches_final
maciejkula/spotlight,1,5.0,30_Matches_final
magicleap/SuperGluePretrainedNetwork,1,5.0,30_Matches_final
mara/mara-pipelines,1,5.0,30_Matches_final
mars-project/mars,1,5.0,30_Matches_final
maziyarpanahi/openmed,1,5.0,30_Matches_final
mckinsey/vizro,1,5.0,30_Matches_final
mdbloice/Augmentor,1,5.0,30_Matches_final
meta-pytorch/torchrec,1,5.0,30_Matches_final
microsoft/LoRA,1,5.0,30_Matches_final
microsoft/Swin-Transformer,1,5.0,30_Matches_final
microsoft/hummingbird,1,5.0,30_Matches_final
microsoft/promptflow,1,5.0,30_Matches_final
mims-harvard/TFC-pretraining,1,5.0,30_Matches_final
mit-han-lab/gan-compression,1,5.0,30_Matches_final
mit-han-lab/hardware-aware-transformers,1,5.0,30_Matches_final
mkhorasani/Streamlit-Authenticator,1,5.0,30_Matches_final
mlfoundations/open_clip,1,5.0,30_Matches_final
mlwithme/BertWithPretrained,1,5.0,30_Matches_final
modelscope/modelscope,1,5.0,30_Matches_final
msed-Ebrahimi/ARoFace,1,5.0,30_Matches_final
nabla-ml/nabla,1,5.0,30_Matches_final
nchammas/flintrock,1,5.0,30_Matches_final
nebuly-ai/optimate,1,5.0,30_Matches_final
nerfstudio-project/nerfstudio,1,5.0,30_Matches_final
nickliqian/cnn_captcha,1,5.0,30_Matches_final
nidhaloff/igel,1,5.0,30_Matches_final
nl8590687/ASRT_SpeechRecognition,1,5.0,30_Matches_final
nlpxucan/WizardLM,1,5.0,30_Matches_final
nltk/nltk,1,5.0,30_Matches_final
nnaisense/evotorch,1,5.0,30_Matches_final
norse/norse,1,5.0,30_Matches_final
notAI-tech/NudeNet,1,5.0,30_Matches_final
ofnote/tsalib,1,5.0,30_Matches_final
omnuron/omniclaw,1,5.0,30_Matches_final
onnx/onnx,1,5.0,30_Matches_final
open-mmlab/mmocr,1,5.0,30_Matches_final
open-mmlab/mmyolo,1,5.0,30_Matches_final
openai/DALL-E,1,5.0,30_Matches_final
openai/baselines,1,5.0,30_Matches_final
openai/chatgpt-retrieval-plugin,1,5.0,30_Matches_final
openai/spinningup,1,5.0,30_Matches_final
opengeos/leafmap,1,5.0,30_Matches_final
opengeos/streamlit-geospatial,1,5.0,30_Matches_final
oreilly-japan/deep-learning-from-scratch-3,1,5.0,30_Matches_final
orobix/Prototypical-Networks-for-Few-shot-Learning-PyTorch,1,5.0,30_Matches_final
paul-pias/Face-Recognition,1,5.0,30_Matches_final
persiannlp/parsinlu,1,5.0,30_Matches_final
peteryuX/arcface-tf2,1,5.0,30_Matches_final
pipeline-tools/gusty,1,5.0,30_Matches_final
polakowo/vectorbt,1,5.0,30_Matches_final
pranftw/neograd,1,5.0,30_Matches_final
process-intelligence-solutions/pm4py,1,5.0,30_Matches_final
pyg-team/pytorch_geometric,1,5.0,30_Matches_final
pyro-ppl/funsor,1,5.0,30_Matches_final
qfgaohao/pytorch-ssd,1,5.0,30_Matches_final
qqwweee/keras-yolo3,1,5.0,30_Matches_final
qualcomm/ai-hub-models,1,5.0,30_Matches_final
qualcomm/aimet,1,5.0,30_Matches_final
quantopian/zipline,1,5.0,30_Matches_final
quantsbin/Quantsbin,1,5.0,30_Matches_final
qubvel-org/segmentation_models.pytorch,1,5.0,30_Matches_final
ranaroussi/quantstats,1,5.0,30_Matches_final
rasbt/mlxtend,1,5.0,30_Matches_final
raullenchai/Rapid-MLX,1,5.0,30_Matches_final
recommenders-team/recommenders,1,5.0,30_Matches_final
redis-developer/ArXivChatGuru,1,5.0,30_Matches_final
robertmartin8/MachineLearningStocks,1,5.0,30_Matches_final
rohitg00/kubectl-mcp-server,1,5.0,30_Matches_final
romanz/trezor-agent,1,5.0,30_Matches_final
rsennrich/Bleualign,1,5.0,30_Matches_final
rsokl/MyGrad,1,5.0,30_Matches_final
ruc-datalab/DeepAnalyze,1,5.0,30_Matches_final
run-llama/llama_deploy,1,5.0,30_Matches_final
rwightman/gen-efficientnet-pytorch,1,5.0,30_Matches_final
ryfeus/lambda-packs,1,5.0,30_Matches_final
san089/Udacity-Data-Engineering-Projects,1,5.0,30_Matches_final
san089/goodreads_etl_pipeline,1,5.0,30_Matches_final
sgl-project/sglang,1,5.0,30_Matches_final
shashankvemuri/Finance,1,5.0,30_Matches_final
shawnwun/NNDIAL,1,5.0,30_Matches_final
shawnwun/RNNLG,1,5.0,30_Matches_final
shenweichen/DeepCTR,1,5.0,30_Matches_final
skrub-data/skrub,1,5.0,30_Matches_final
sktime/pytorch-forecasting,1,5.0,30_Matches_final
skytells-research/DeepInfant,1,5.0,30_Matches_final
skywalker023/prosocial-dialog,1,5.0,30_Matches_final
sloria/TextBlob,1,5.0,30_Matches_final
snakers4/silero-vad,1,5.0,30_Matches_final
snap-stanford/pretrain-gnns,1,5.0,30_Matches_final
speechbrain/speechbrain,1,5.0,30_Matches_final
spencermountain/compromise,1,5.0,30_Matches_final
spesmilo/electrum,1,5.0,30_Matches_final
srvk/how2-dataset,1,5.0,30_Matches_final
streamlit/streamlit,1,5.0,30_Matches_final
sunlabuiuc/PyHealth,1,5.0,30_Matches_final
tangxyw/RecAlgorithm,1,5.0,30_Matches_final
teamclairvoyant/airflow-maintenance-dags,1,5.0,30_Matches_final
tensorflow/compression,1,5.0,30_Matches_final
tensorflow/datasets,1,5.0,30_Matches_final
tensorflow/model-optimization,1,5.0,30_Matches_final
tensorflow/recommenders,1,5.0,30_Matches_final
tensorly/tensorly,1,5.0,30_Matches_final
tensortrade-org/tensortrade,1,5.0,30_Matches_final
thammegowda/mtdata,1,5.0,30_Matches_final
thunlp/OpenPrompt,1,5.0,30_Matches_final
titu1994/LSTM-FCN,1,5.0,30_Matches_final
torchpipe/torchpipe,1,5.0,30_Matches_final
trannhatnguyen2/NYC_Taxi_Data_Pipeline,1,5.0,30_Matches_final
triton-inference-server/pytriton,1,5.0,30_Matches_final
triton-inference-server/server,1,5.0,30_Matches_final
tukuaiai/tradecat-public,1,5.0,30_Matches_final
tylerebowers/Schwabdev,1,5.0,30_Matches_final
ufoym/deepo,1,5.0,30_Matches_final
ultralytics/yolov3,1,5.0,30_Matches_final
unifyai/ivy,1,5.0,30_Matches_final
vbelz/Speech-enhancement,1,5.0,30_Matches_final
vi3k6i5/flashtext,1,5.0,30_Matches_final
vibrantlabsai/ragas,1,5.0,30_Matches_final
vietnh1009/QuickDraw,1,5.0,30_Matches_final
vladmandic/sdnext,1,5.0,30_Matches_final
we0091234/Chinese_license_plate_detection_recognition,1,5.0,30_Matches_final
wenwei202/terngrad,1,5.0,30_Matches_final
whitphx/streamlit-webrtc,1,5.0,30_Matches_final
writer/writer-framework,1,5.0,30_Matches_final
wujiyang/Face_Pytorch,1,5.0,30_Matches_final
wzhe06/Ad-papers,1,5.0,30_Matches_final
wzhe06/Reco-papers,1,5.0,30_Matches_final
wzhe06/SparrowRecSys,1,5.0,30_Matches_final
xmu-xiaoma666/External-Attention-pytorch,1,5.0,30_Matches_final
xorbitsai/inference,1,5.0,30_Matches_final
xtekky/gpt4free,1,5.0,30_Matches_final
yanshengjia/ml-road,1,5.0,30_Matches_final
yasinkuyu/binance-trader,1,5.0,30_Matches_final
yeyupiaoling/VoiceprintRecognition-Pytorch,1,5.0,30_Matches_final
yeyupiaoling/VoiceprintRecognition-Tensorflow,1,5.0,30_Matches_final
yihong0618/running_page,1,5.0,30_Matches_final
ylongqi/openrec,1,5.0,30_Matches_final
ymcui/Chinese-BERT-wwm,1,5.0,30_Matches_final
yuka-friends/Windrecorder,1,5.0,30_Matches_final
yzhao062/pyod,1,5.0,30_Matches_final
zeusees/License-Plate-Detector,1,5.0,30_Matches_final
zhusleep/pytorch_chinese_lm_pretrain,1,5.0,30_Matches_final
zihangdai/xlnet,1,5.0,30_Matches_final
zilliztech/deep-searcher,1,5.0,30_Matches_final
zvtvz/zvt,1,5.0,30_Matches_final
