AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
huggingface/transformers,huggingface-transformers,Good,0,0,0,30,10,226,10.54,GradientHQ/parallax,hiyouga/EasyR1,jessevig/bertviz,speechbrain/speechbrain,Tencent/AngelSlim,GradientHQ/parallax | hiyouga/EasyR1 | jessevig/bertviz | speechbrain/speechbrain | Tencent/AngelSlim
jina-ai/serve,jina-ai-serve,Good,0,0,0,30,10,192,65.01,bentoml/BentoML,Netflix/metaflow,PrefectHQ/fastmcp,agentscope-ai/agentscope,emcie-co/parlant,bentoml/BentoML | Netflix/metaflow | PrefectHQ/fastmcp | agentscope-ai/agentscope | emcie-co/parlant
pytorch/pytorch,pytorch-pytorch,Good,0,0,4,30,10,193,0.0,chainer/chainer,norse/norse,pranftw/neograd,leptonai/leptonai,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | pranftw/neograd | leptonai/leptonai | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,30,10,233,35.0,torchpipe/torchpipe,ELS-RD/transformer-deploy,NVIDIA/TensorRT-LLM,curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,google/langextract,torchpipe/torchpipe | ELS-RD/transformer-deploy | NVIDIA/TensorRT-LLM | curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI | google/langextract
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,30,10,226,0.0,nltk/nltk,jasonwu0731/trade-dst,hankcs/HanLP,budzianowski/multiwoz,Maluuba/nlg-eval,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
serengil/deepface,serengil-deepface,Good,0,0,3,30,10,161,31.61,deepinsight/insightface,RangiLyu/nanodet,Lasagne/Lasagne,wujiyang/Face_Pytorch,Zeyi-Lin/HivisionIDPhotos,deepinsight/insightface | RangiLyu/nanodet | Lasagne/Lasagne | wujiyang/Face_Pytorch | Zeyi-Lin/HivisionIDPhotos
ultralytics/yolov5,ultralytics-yolov5,Good,0,0,2,30,10,206,0.0,Megvii-BaseDetection/YOLOX,WangQvQ/YOLOMagic,tinyvision/DAMO-YOLO,ayooshkathuria/pytorch-yolo-v3,open-mmlab/mmyolo,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
explosion/spaCy,explosion-spacy,OK,2,4,11,30,10,193,163.16,stanfordnlp/stanza,Lightning-AI/pytorch-lightning,kornia/kornia,google-deepmind/sonnet,keras-team/keras,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
gradio-app/gradio,gradio-app-gradio,OK,2,4,11,30,10,222,135.31,streamlit/streamlit,unit8co/darts,NannyML/nannyml,1adrianb/face-alignment,Lightning-AI/pytorch-lightning,streamlit/streamlit | unit8co/darts | NannyML/nannyml | 1adrianb/face-alignment | Lightning-AI/pytorch-lightning
streamlit/streamlit,streamlit-streamlit,Weak,3,3,9,30,10,212,166.92,unit8co/darts,gradio-app/gradio,Lightning-AI/pytorch-lightning,keras-team/keras,NannyML/nannyml,unit8co/darts | gradio-app/gradio | Lightning-AI/pytorch-lightning | keras-team/keras | NannyML/nannyml
